"Reference","Qty","Value","DNP","Exclude from BOM","Footprint","NOTE","MPN","Manufacturer","DPN","Distributor"
"C1,C3,C21,C23,C26,C28,C31,C33,C36,C38,C41,C43","12","1u","","","Capacitor_SMD:C_0603_1608Metric","","CL10A105KB8NNNC","Samsung Electro-Mechanics","1276-1860-6-ND","Digikey"
"C2,C4,C5,C11,C12,C14,C15,C17,C22,C24,C25,C27,C29,C30,C32,C34,C35,C37,C39,C40,C42,C44,C45","23","100n","","","Capacitor_SMD:C_0402_1005Metric","","GRM155R61H104KE14D","Murata Electronics","490-10697-6-ND","Digikey"
"C6","1","22n","","","Capacitor_SMD:C_0402_1005Metric","","GRM155R71H222KA01D","Murata Electronics","490-1305-6-ND","Digikey"
"C7,C8","2","10u","","","Capacitor_SMD:C_0805_2012Metric","","C2012X7S1E106K125AC","TDK","445-181600-6-ND","Digikey"
"C9","1","470n","","","Capacitor_SMD:C_0402_1005Metric","","C1005X5R1E474K050BB","","445-8020-6-ND","Digikey"
"C10,C13,C16,C19,C20","5","22u","","","Capacitor_SMD:C_0805_2012Metric","","GMC21X7S226M10NT","Cal-Chip Electronics, Inc.","4713-GMC21X7S226M10NTDKR-ND","Digikey"
"C18","1","~","DNP","","Capacitor_SMD:C_0603_1608Metric","","","","",""
"FB1","1","10n","","","Inductor_SMD:L_0603_1608Metric","","BLE18PS080SN1D","Murata Electronics","490-BLE18PS080SN1DDKR-ND","Digikey"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","","","","",""
"J101","1","+6VA","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","","0039299049","Molex","WM14518-ND","Digikey"
"J102","1","+6VB","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","","0039299049","Molex","WM14518-ND","Digikey"
"J103","1","0039289088","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical","","0039289088","Molex","WM3835-ND","Digikey"
"J104","1","+/-15V","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","","0039299049","Molex","WM14518-ND","Digikey"
"J105","1","+/-5V","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","","0039299049","Molex","WM14518-ND","Digikey"
"J106,J107","2","39289108","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical","","0039289108","Molex","23-0039289108-ND","Digikey"
"J108","1","Conn_01x04","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","","0039299049","Molex","WM14518-ND","Digikey"
"L1","1","2u2","","","Wuerth:74438356022","","74438356022","Wurth Elektronik","732-8232-6-ND","Digikey"
"Q1,Q2,Q3,Q4,Q5,Q6","6","BS170F","","","Package_TO_SOT_SMD:SOT-416","","NTA7002NT1G","onsemi","NTA7002NT1GOSDKR-ND","Digikey"
"R2,R3,R4,R5,R14,R15,R16,R17","8","0R","DNP","","Resistor_SMD:R_1206_3216Metric","","5108","Keystone Electronics","36-5108DKR-ND","Digikey"
"R6,R12,R13,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47","18","2k","","","Resistor_SMD:R_0402_1005Metric","","ERJ-2RKF2001X","Panasonic Industry","P2.00KLDKR-ND","Digikey"
"R7,R18","2","39mR","","","Resistor_SMD:R_Shunt_Ohmite_LVK20","","LVK20R039FER","Ohmite","273-LVK20R039FERDKR-ND","Ohmite"
"R8,R11,R19,R20","4","50mR","","","Resistor_SMD:R_Shunt_Ohmite_LVK20","","LVK20R050FER","Ohmite","273-LVK20R050FERDKR-ND","Ohmite"
"R9,R10","2","0R","","","Resistor_SMD:R_1206_3216Metric","","5108","Keystone Electronics","36-5108DKR-ND","Digikey"
"R21","1","0R","","","Resistor_SMD:R_0402_1005Metric","","CRCW04020000Z0ED ","Vishay Dale ","541-0.0JDKR-ND ","Digikey"
"R22","1","~","DNP","","Resistor_SMD:R_0402_1005Metric","","","","",""
"R23,R24","2","4k7","","","Resistor_SMD:R_0402_1005Metric","","CRCW04024K70FKED","Panasonic Industry","541-4.70KLCT-ND","Digikey"
"R25","1","14k7","","","Resistor_SMD:R_0402_1005Metric","","ERA-2APB1472X","Panasonic Industry","P17731CT-ND","Digikey"
"R26","1","4k7","","","Resistor_SMD:R_0402_1005Metric","","ERA-2ARB472X","Panasonic Industry","P4.7KCPCT-ND","Digikey"
